StudyID,StudyPublicationDate,Instrument,Species,Status,Size (MB)
MTBLS44,14/09/15,GC-TOF-MS,Lotus japonicus,Public,1736.2
MTBLS45,01/03/14,GC-TOF-MS,Arabidopsis thaliana;Alkane standard,Public,5546.65
MTBLS46,03/03/15,NMR,Homo sapiens,Public,118.85
MTBLS47,01/03/14,GC-TOF-MS,Alkane standard;Arabidopsis thaliana,Public,65617.8
MTBLS48,01/07/18,NMR,Mus musculus,In Review,53
MTBLS49,14/05/15,LC-LTQ-MS,Trypanosoma brucei,Public,2484.03
MTBLS50,01/06/16,UPLC-LTQ-MS/MS;GC-Q-MS,Homo sapiens,Submitted,19.59
MTBLS51,01/07/16,UPLC-LTQ-MS/MS;GC-Q-MS,Homo sapiens,Submitted,1.07
MTBLS52,20/11/14,UPLC-DAD;HPLC-QIT-MS,Hordeum vulgare,Public,93.75
MTBLS53,19/11/16,GC-Q-MS,reference compound;Homo sapiens,In Review,19.66
MTBLS54,14/09/15,GC-TOF-MS,Lotus japonicus,Public,1509.78
MTBLS55,25/02/14,UPLC-QTOF-MS,Vitis vinifera,Public,13489.95
MTBLS56,24/09/13,NMR,Solanum lycopersicum,Public,20.71
MTBLS57,06/12/13,UPLC-QTOF-MS,Arabidopsis thaliana,Public,3535.45
MTBLS58,31/12/17,MALDI-TOF/TOF-MS ??,Rattus norvegicus,In Review,7060.93
MTBLS59,24/10/13,UPLC-QTOF-MS,reference compound;Malus domestica,Public,927.35
MTBLS60,01/11/16,GCxGC-TOF-MS;UPLC-QTOF-MS,Homo sapiens,Submitted,6.77
MTBLS61,14/11/13,HPLC-LTQ-MS/MS,Homo sapiens;Mus musculus,Public,1296.18
MTBLS62,22/08/18,,,Submitted,0.01
MTBLS63,05/09/18,,,Submitted,0.01
MTBLS64,05/09/18,,,Submitted,0.01
MTBLS65,05/09/18,,,Submitted,0.01
MTBLS66,05/09/18,,,Submitted,0.01
MTBLS67,26/11/13,HPLC-LTQ-MS,Schizosaccharomyces pombe,Public,2078.91
MTBLS68,05/09/18,,,Submitted,0.01
MTBLS69,01/05/14,UPLC-QTOF-MS,Sorghum bicolor,Public,2308.87
MTBLS70,05/02/16,UPLC-QTOF-MS,Sorghum bicolor,Dormant,2308.64
MTBLS71,21/05/14,GC-Q-MS,Homo sapiens,Public,5989.84
MTBLS72,09/03/14,FIA-TQ-MS/MS;UPLC-QTOF-MS/MS,reference compound;Homo sapiens,Public,32996.61
MTBLS73,18/10/17,UPLC-LTQ-MS/MS,reference compound;Solanum lycopersicum,Public,8804.45
MTBLS74,06/11/14,UPLC-QTOF-MS,Arabidopsis thaliana,Public,10056.1
MTBLS75,24/06/14,GC-Q-MS,unclassified Cyanobacteria,Public,445.13
MTBLS76,01/07/16,DI-LTQ-MS,Homo sapiens,In Review,10328.7
MTBLS77,31/01/15,NMR,Ovis aries,Public,6.7
MTBLS78,05/09/18,,,Submitted,0.01
MTBLS79,05/06/14,DI-FT-ICR-MS,Ovis aries;Bos taurus/Ovis aries;Bos taurus,Public,55958.32
MTBLS80,31/12/18,,,Submitted,8830.19
MTBLS81,19/08/14,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS,Mus musculus,Public,3433.84
MTBLS82,09/01/19,,,Submitted,0.01
MTBLS83,,,,,
MTBLS84,,,,,
MTBLS85,01/07/14,UPLC-DAD,Vitis vinifera;reference compound,Public,1883.3
MTBLS86,01/07/14,UPLC-DAD,reference compound;Manihot esculenta,Public,3014.64
MTBLS87,08/07/14,HPLC-LTQ-MS/MS,Homo sapiens;Schizosaccharomyces pombe,Public,2548.93
MTBLS88,08/07/14,HPLC-LTQ-MS/MS,Homo sapiens,Public,1819.86
MTBLS89,,,,,
MTBLS90,30/08/14,UPLC-QTOF-MS/MS,Homo sapiens,Public,459270.02
MTBLS91,13/10/15,DI-FT-ICR-MS,Calanus,Public,1409.46
MTBLS92,17/06/14,UPLC-QTOF-MS,Homo sapiens,Public,10500.88
MTBLS93,30/08/14,UPLC-QTOF-MS/MS,Homo sapiens,Public,695657.91
MTBLS94,,,,,
MTBLS95,24/06/14,GC-Q-MS,Arabidopsis thaliana,Public,508.58
MTBLS96,24/06/14,GC-Q-MS,Mus musculus,Public,596.73
MTBLS97,01/01/16,GC-TOF-MS;UPLC-TOF-MS,Homo sapiens,Submitted,9.55
MTBLS98,14/09/16,DI-LTQ-MS,Homo sapiens;Homo sapiens;Plasmodium falciparum,Public,41.5
MTBLS99,05/06/15,UPLC-QTOF-MS,Malus domestica,Public,8019.06
MTBLS100,01/09/15,NMR,Homo sapiens,Public,4.35
MTBLS101,01/02/17,NMR,Homo sapiens,Submitted,13.93
MTBLS102,01/07/15,NMR,Homo sapiens;Staphylococcus aureus,Public,18.63
MTBLS103,09/04/15,NMR;UPLC-QTOF-MS,Homo sapiens,Public,4847.94
MTBLS104,01/10/14,NMR,Homo sapiens,Public,19.31
MTBLS105,13/08/15,GC-Q-MS;GC-TOF-MS,Homo sapiens,Public,6925.96
MTBLS106,,,,,
MTBLS107,31/08/14,UPLC-LTQ-MS,Solanum lycopersicum,Public,1680.27
MTBLS108,31/08/14,UPLC-LTQ-MS,Solanum lycopersicum,Public,1721.86
MTBLS109,31/08/14,UPLC-LTQ-MS,Solanum lycopersicum,Public,1706.38
MTBLS110,31/08/14,UPLC-LTQ-MS,Solanum lycopersicum,Public,1686.98
MTBLS111,31/08/14,UPLC-LTQ-MS,Solanum lycopersicum,Public,1743.45
MTBLS112,17/10/14,GC-Q-MS,Triticum aestivum,Public,0.82
MTBLS113,04/09/14,GC-TOF-MS,reference compound;Euglena gracilis,Public,622.54
MTBLS114,05/09/14,NMR,Rattus norvegicus,Public,7.61
MTBLS115,01/02/17,NMR,Saccharomyces cerevisiae,In Review,31.45
MTBLS116,20/11/14,NMR,Montipora aequituberculata;Seriatopora hystrix;Pocillopora damicornis;Porites lobata;Porites compressa,Public,5.71
MTBLS117,15/11/14,DI-LTQ-MS/MS,Glycine max;Glycine max/Rhizoctonia solani,Public,111.65
MTBLS118,15/11/14,GC-Q-MS,Glycine max;Glycine max/Rhizoctonia solani,Public,1151.37
MTBLS119,31/01/15,UPLC-QTOF-MS/MS,Populus tremula x Populus alba,Public,31686.63
MTBLS120,04/02/16,UPLC-QTOF-MS/MS,Glycine max,Public,19183.97
MTBLS121,,,,,
MTBLS122,,,,,
MTBLS123,31/01/15,NMR,Sus scrofa domesticus,Public,647.9
MTBLS124,23/03/15,UPLC-QTOF-MS,Homo sapiens,Public,237378.2
MTBLS125,15/12/14,HPLC-LTQ-MS,Mus musculus,Public,12118.45
MTBLS126,15/12/14,HPLC-LTQ-MS,Mus musculus,Public,16329.34
MTBLS127,15/12/14,HPLC-LTQ-MS,Homo sapiens;Mus musculus,Public,4108.96
MTBLS128,06/10/15,UPLC-QTOF-MS,Corynebacterium glutamicum,Public,176.98
MTBLS129,03/10/16,UPLC-TOF-MS;UPLC-LTQ-MS,Arabidopsis thaliana,Public,10584.68
MTBLS130,,,,,
MTBLS131,28/01/15,NMR,Solanum lycopersicum,Public,197.23
MTBLS132,11/11/15,NMR,Solanum lycopersicum,Public,267.28
MTBLS133,11/11/15,NMR,reference compound,Public,184.71
MTBLS134,11/11/15,NMR,reference compound,Public,184.71
MTBLS135,,,,,
MTBLS136,,,,,
MTBLS137,09/11/14,UPLC-QTOF-MS,Vitis vinifera,Public,6034.04
MTBLS138,,GC-Q-MS,,,
MTBLS139,,,,,
MTBLS140,07/09/15,HPLC-LTQ-MS/MS,Homo sapiens;reference compound,Public,17630.24
MTBLS141,01/11/16,,Arabidopsis thaliana,Submitted,122400.48
MTBLS142,,,,,
MTBLS143,19/11/15,UPLC-LTQ-MS,Mus musculus,Public,482.33
MTBLS144,12/12/14,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS,Thalassiosira pseudonana,Public,7509.39
MTBLS145,,,,,
MTBLS146,03/03/15,HPLC-LTQ-MS,Homo sapiens,Public,10639.27
MTBLS147,01/01/15,NMR,Homo sapiens,Public,2298.38
MTBLS148,18/12/14,UPLC-LTQ-MS,Homo sapiens,Public,20663.55
MTBLS149,08/06/16,NMR,Rattus norvegicus,Public,121.73
MTBLS150,31/12/14,GCxGC-TOF-MS,Homo sapiens,Public,219.32
MTBLS151,25/11/16,NMR,Oryza sativa,Public,67.03
MTBLS152,08/01/15,GCxGC-TOF-MS,Homo sapiens,Public,235
MTBLS153,03/10/16,GC-Q-MS,Triticum aestivum,Submitted,1.67
MTBLS154,27/01/15,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS,Thalassiosira pseudonana,Public,9846.52
MTBLS155,26/01/15,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS,Synechococcus elongatus,Public,9626.66
MTBLS156,16/01/15,MAS-NMR,Homo sapiens,Public,81.02
MTBLS157,29/01/15,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS,Ruegeria pomeroyi,Public,19192.76
MTBLS158,,,,,
MTBLS159,,,,,
MTBLS160,15/07/16,UPLC-QTOF-MS,Arabidopsis thaliana,Public,12778.42
MTBLS161,08/06/15,NMR,Homo sapiens,Public,1
MTBLS162,05/10/15,DI-LTQ-MS,Homo sapiens,Public,639.83
MTBLS163,11/03/15,LC-TQ-MS/MS,Homo sapiens,Public,87.89
MTBLS164,14/12/16,PTR-MS,Homo sapiens,Public,2.3
MTBLS165,31/03/15,HPLC-LTQ-MS/MS,Ailuropoda melanoleuca,Public,10055.42
MTBLS166,14/02/15,NMR,Mus musculus,Public,15.75
MTBLS167,01/05/17,GC-TQ-MS;UPLC-QTOF-MS;UPLC-DAD,Vitis vinifera,In Curation,282344.26
MTBLS168,16/12/16,UPLC-TQ-MS,Saccharomyces cerevisiae,Public,68.77
MTBLS169,15/09/15,UPLC-QTOF-MS,Arabidopsis thaliana,Public,1385.89
MTBLS170,19/03/15,GC-Q-MS,Ilex paraguariensis,Public,548.43
MTBLS171,28/09/15,GC-Q-MS,Rattus norvegicus,Public,681.78
MTBLS172,17/11/15,NMR,Homo sapiens,Public,40.69
MTBLS173,17/11/15,UPLC-LTQ-MS/MS;UPLC-TQ-MS;UPLC-QTOF-MS,Mus musculus,Public,12088.1
MTBLS174,07/12/15,NMR,Homo sapiens,Public,3.51
MTBLS175,03/03/15,GC-Q-MS;UPLC-QTOF-MS,Centella asiatica,Public,2990.51
MTBLS176,27/07/16,3D MALDI imaging MS;3D DESI imaging MS,Bacillus subtilis and Streptomyces coelicolor;Mus musculus;Homo sapiens,Public,98904.54
MTBLS177,01/08/15,NMR,Homo sapiens,Public,62.48
MTBLS178,11/03/15,UPLC-QTOF-MS/MS,Homo sapiens,Public,2006.95
MTBLS179,,,,,
MTBLS180,,,,,
MTBLS181,,,,,
MTBLS182,25/11/16,GC-Q-MS,reference compound;Homo sapiens,In Review,55.46
MTBLS183,26/11/16,GC-Q-MS,Homo sapiens,In Review,349.18
MTBLS184,26/11/16,GC-Q-MS,reference compound;Homo sapiens,In Review,125.83
MTBLS185,12/01/17,UPLC-LTQ-MS,Bos taurus,Public,3310.87
MTBLS186,,,,,
MTBLS187,09/07/15,GC-Q-MS,Synechococcus spp.;Roseiflexus spp.;Chloracidobacterium spp.;Candidatus Thermochlorobacter spp.;Chloroflexus spp.,Public,8433.51
MTBLS188,10/05/15,UPLC-QTOF-MS,reference material;Arabidopsis thaliana,Public,789.87
MTBLS189,16/01/17,NMR,Mus musculus;Astragalus mongholicus,Public,105.47
MTBLS190,28/03/16,NMR,Rattus andamanensis,Submitted,0.25
MTBLS191,15/06/15,GC-Q-MS,Homo sapiens,Public,430.59
MTBLS192,15/04/16,FIA-LTQ-MS/MS,Homo sapiens,Dormant,9.2
MTBLS193,03/10/16,UPLC-QTOF-MS,matrix;Chlorella;Parachlorella,Public,126714.85
MTBLS194,01/07/15,HPLC-FT-ICR-MS,Mus musculus,Public,1660.43
MTBLS195,22/04/16,,Arabidopsis thaliana,Submitted,12.17
MTBLS196,11/05/16,GC-Q-MS;UPLC-LTQ-MS/MS,Mustela putorius,Public,8732
MTBLS197,02/11/15,HPLC-LTQ-MS,Mus musculus,Public,4730.28
MTBLS198,19/01/17,HPLC-LTQ-MS/MS,Homo sapiens,Public,19311.78
MTBLS199,02/05/17,DI-LTQ-MS/MS,reference compound;Homo sapiens,In Curation,0.97
MTBLS200,15/06/16,NMR;GC-TOF-MS,Homo sapiens,Public,476.45
MTBLS201,,,,,
MTBLS202,08/07/15,GC-TOF-MS,Homo sapiens,Dormant,0.18
MTBLS203,15/06/15,UPLC-QTOF-MS/MS,Nicotiana attenuata,Public,1334.57
MTBLS204,,,,,
MTBLS205,,,,,
MTBLS206,,,,,
MTBLS207,,,,,
MTBLS208,29/06/15,GC-TOF-MS,Chlamydomonas reinhardtii,Public,1087.31
MTBLS209,23/01/17,UPLC-QTOF-MS;UPLC-TQ-MS,Vitis labrusca x Vitis vinifera;Vitis arizonica;Vitis Vinifera x Vitis berlandieri;Vitis vinifera;Vitis californica;Vitis;Vitis berlandieri x V. riparia/Xiphinema index/Glomus intraradices mixed EST library;Vitis cinerea,Public,55868.39
MTBLS210,11/03/16,DI-FT-ICR-MS/MS,Aedes albopictus,Public,14967.05
MTBLS211,01/08/16,Smash into a million pieces!!!,symbiotic microbe,Submitted,0.04
MTBLS212,19/08/15,SPME-GCxGC-TOF-MS,Vitis vinifera,Public,103626.95
MTBLS213,15/09/15,UPLC-MS,Homo sapiens,Public,384.47
MTBLS214,31/08/15,UFLC-TOF-MS/MS,Homo sapiens,Public,1120.02
MTBLS215,27/12/15,GC-TOF-MS,reference compound,Public,2581.64
MTBLS216,25/01/17,LC-QTOF-MS,Mus musculus,Public,711.3
MTBLS217,27/01/17,HPLC-QTOF-MS,Mus musculus,Public,2513.12
MTBLS218,15/09/15,UPLC-LTQ-MS,Homo sapiens,Public,5133.41
MTBLS219,28/09/15,GC-TOF-MS,alkane reference;Mus musculus,Public,4724.7
MTBLS220,,,,,
MTBLS221,,,,,
MTBLS222,29/03/17,CE-TOF-MS,Homo sapiens,Submitted,0.95
MTBLS223,03/11/17,FIA-LTQ-MS/MS;LC-LTQ-MS/MS,calibrant;Homo sapiens;PBS,Submitted,490.51
MTBLS224,31/01/17,DI-LTQ-MS,Phyllanthus niruri,Public,2.29
MTBLS225,02/02/17,UPLC-TQ-MS;HPLC-TQ-MS/MS,Mus musculus,Public,4548.07
MTBLS226,19/10/15,GCxGC-TOF-MS,Homo sapiens,Public,100.09
MTBLS227,03/02/17,HPLC-IT-MS;MALDI-TOF/TOF-MS/MS,Homo sapiens,Public,4857.61
MTBLS228,19/10/15,HPLC-LTQ-MS,Bacillus methanolicus,Public,482.43
MTBLS229,19/10/15,HPLC-LTQ-MS,Escherichia coli,Public,1034.36
MTBLS230,22/11/17,NMR,Negative Media;conditioned DMEM Media;Homo sapiens;Buffer;McCoys Media,In Review,42.22
MTBLS231,23/11/17,FIA-LTQ-MS/MS;HPLC-LTQ-MS/MS,Homo sapiens;calibrant,Dormant,184.84
MTBLS232,22/11/17,UPLC-TQ-MS,Homo sapiens,Dormant,45.67
MTBLS233,09/06/16,HPLC-LTQ-MS,Homo sapiens,Public,51149.56
MTBLS234,16/12/15,LC-QTOF-MS,Homo sapiens,Public,2090.93
MTBLS235,16/12/15,LC-MS simulation,simulated data,Public,8885.58
MTBLS236,13/03/18,NMR,Homo sapiens,Submitted,6092.96
MTBLS237,07/02/17,NMR,Homo sapiens,Public,46.26
MTBLS238,07/10/16,NMR,Homo sapiens,In Curation,40.5
MTBLS239,10/03/18,NMR,Homo sapiens,In Curation,264.58
MTBLS240,09/02/17,NMR,Mus musculus,Public,60.79
MTBLS241,13/03/18,NMR,reference compound;Homo sapiens,Submitted,687.41
MTBLS242,08/12/16,NMR,Homo sapiens,Public,1664.33
MTBLS243,04/11/15,HPLC-TQ-MS/MS,Mus musculus,Public,46.8
MTBLS244,01/05/18,GC-Q-MS,Mus musculus,In Review,8.96
MTBLS245,05/10/16,UPLC-QTOF-MS,Homo sapiens,In Curation,10508.09
MTBLS246,05/11/16,UPLC-QTOF-MS,Homo sapiens,In Curation,121476.41
MTBLS247,23/02/17,NMR,Homo sapiens,Public,389.67
MTBLS248,07/10/16,UPLC-QTOF-MS,Homo sapiens,In Curation,16524.5
MTBLS249,10/03/17,NMR,Homo sapiens,Public,197.95
MTBLS250,15/06/16,UPLC-QTOF-MS,Homo sapiens,In Curation,7762.99
MTBLS251,15/12/15,FIA-MS,Homo sapiens,Submitted,2.79
MTBLS252,25/12/15,MS,Mus musculus,Submitted,8.74
MTBLS253,06/06/16,HPLC-TQ-MS,Homo sapiens,Public,319.63
MTBLS254,05/10/16,FIA-MS,Homo sapiens,Submitted,1.72
MTBLS255,,,,,
MTBLS256,14/03/17,NMR,Mus musculus,Public,3.16
MTBLS257,01/08/16,UPLC-TQ-MS/MS,Mus musculus,Dormant,2.12
MTBLS258,15/11/15,FIA-MS,Mus musculus;not applicable;Homo sapiens,Submitted,82.78
MTBLS259,03/04/17,DI-FT-ICR-MS,Daphnia pulex;solvent,Public,1139.31
MTBLS260,08/05/17,DI-FT-ICR-MS,Daphnia magna,Public,861.51
MTBLS261,03/10/16,NMR,Mus musculus,In Review,59.11
MTBLS262,01/10/18,FIA-MS,Mus musculus,Submitted,1.55
MTBLS263,10/03/16,HPLC-LTQ-MS,Homo sapiens,Public,432.08
MTBLS264,10/03/16,HPLC-LTQ-MS,Homo sapiens,Public,3462.88
MTBLS265,10/03/16,HPLC-LTQ-MS,Homo sapiens,Public,2507.72
MTBLS266,10/03/16,HPLC-LTQ-MS,Homo sapiens,Public,2420.86
MTBLS267,10/03/16,HPLC-LTQ-MS,Homo sapiens,Public,2568.93
MTBLS268,31/12/16,HPLC-LTQ-MS,Homo sapiens,In Review,2667.36
MTBLS269,31/12/16,HPLC-LTQ-MS,Mus musculus,In Review,2398.69
MTBLS270,04/01/16,HPLC-QTOF-MS,Cichorium intybus,Public,918.82
MTBLS271,15/12/15,3D MALDI imaging MS,Rattus norvegicus,Submitted,0.84
MTBLS272,03/05/17,UPLC-QTOF-MS/MS,Arabidopsis thaliana,Public,21902.14
MTBLS273,28/04/16,3D DESI imaging MS,Homo sapiens,Public,37111.07
MTBLS274,04/05/17,UPLC-QTOF-MS,Carica papaya,Public,2051.16
MTBLS275,05/05/17,NMR,Mus musculus,Public,1.96
MTBLS276,16/11/15,UPLC-LTQ-MS/MS,Escherichia coli;reference compound;Xenopus laevis,Public,671.38
MTBLS277,05/12/16,HPLC-LTQ-MS,Homo sapiens,Public,77244.32
MTBLS278,13/05/16,UPLC-TQ-MS/MS,Rattus norvegicus,Public,1.47
MTBLS279,06/06/16,UPLC-QTOF-MS,Homo sapiens,Public,46124.69
MTBLS280,06/06/16,UPLC-QTOF-MS,Homo sapiens,Public,74.68
MTBLS281,01/02/16,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS,Coral reef sea water;Spheciospongia vesparium;Ircinia campana;Pooled quality control;sea water,Public,3454.33
MTBLS282,28/04/16,3D DESI imaging MS,Homo sapiens/Mus musculus xenograft,Public,54286.4
MTBLS283,15/12/16,GC-Q-MS;UPLC-TQ-MS/MS,Mus musculus,Public,606.96
MTBLS284,,,,,
MTBLS285,26/11/16,NMR,Homo sapiens,Submitted,0.26
MTBLS286,03/05/16,UPLC-QTOF-MS,Oryza sativa,Public,4097.05
MTBLS287,03/05/16,UPLC-QTOF-MS,Oryza sativa,Public,2203.22
MTBLS288,03/05/16,GC-Q-MS,Oryza sativa,Public,4952.69
MTBLS289,28/04/16,3D DESI imaging MS,Homo sapiens/Mus musculus xenograft,Public,289462.7
MTBLS290,11/05/17,HPLC-LTQ-MS/MS,Homo sapiens,Public,81.53
MTBLS291,09/03/17,UPLC-TOF-MS,reference compound;Caenorhabditis elegans,Public,460.86
MTBLS292,05/04/17,UPLC-TQ-MS,Mus musculus;Homo sapiens,Public,1447.63
MTBLS293,14/01/16,LC-FT-ICR-MS;LC-LTQ-FT-MS/MS;LC-TQ-MS,sea water,Public,5820.68
MTBLS294,01/03/16,No data supplied,,Dormant,0.06
MTBLS295,01/02/16,UPLC-FT-ICR-MS;UPLC-LTQ-FT-MS/MS;UPLC-TQ-MS,Micromonas pusilla,Public,19406.5
MTBLS296,13/10/16,UPLC-QTOF-MS/MS,Saccharomyces cerevisiae,Public,213036.8
MTBLS297,25/04/17,UPLC-QTOF-MS,Solanum lycopersicum;Solanum habrochaites,Public,6148.82
MTBLS298,15/12/16,GCxGC-TOF-MS,Homo sapiens,Public,16.14
MTBLS299,,No data supplied,,,
MTBLS300,,,,,
MTBLS301,,,,,
MTBLS302,,,,,
MTBLS303,13/05/16,UPLC-TQ-MS/MS,Rattus norvegicus,Public,13.9
MTBLS304,01/03/16,UPLC-QTOF-MS,Mycobacterium tuberculosis,In Curation,11640.03
MTBLS305,28/01/16,No data supplied,,Dormant,63.29
MTBLS306,16/05/17,HPLC-LTQ-MS/MS,Homo sapiens,Public,57451.43
MTBLS307,23/05/16,LC-LTQ-MS/MS,reference compound;Homo sapiens,Public,18524.89
MTBLS308,26/01/17,UPLC-TQ-MS/MS,Mus musculus,Dormant,0.32
MTBLS309,31/03/17,HPLC-LTQ-MS/MS;GC-TQ-MS;GC-Q-MS,Brassica napus,Public,9584.57
MTBLS310,,,,,
MTBLS311,25/04/17,HPLC-LTQ-MS/MS;GC-TQ-MS,Arabidopsis thaliana,Public,23076.34
MTBLS312,25/04/17,HPLC-LTQ-MS/MS;GC-TQ-MS;UPLC-QTOF-MS,Brassica napus,Public,58.13
MTBLS313,10/04/17,3D MALDI imaging MS,Mus musculus;Rattus rattus,Public,5455.33
MTBLS314,01/02/17,GC-Q-MS,Mus musculus,Submitted,1.68
MTBLS315,17/03/16,GC-TOF-MS;UPLC-LTQ-MS;LC-QTOF-MS,Homo sapiens,Public,7400.79
MTBLS316,06/07/17,HPLC-LTQ-MS/MS,Schizosaccharomyces pombe/Puccinia graminis mixed DNA library,Public,882.06
MTBLS317,05/12/16,3D MALDI imaging MS simulation,Simulation experiment,Public,119.14
MTBLS318,,,,,
MTBLS319,23/08/16,GC-TOF-MS,Pseudomonas putida,Public,13880.71
MTBLS320,23/08/16,GC-TOF-MS,Pseudomonas putida,Public,11808.65
MTBLS321,22/09/16,GC-QTOF-MS,Homo sapiens,Public,492.24
MTBLS322,14/07/17,UPLC-QTOF-MS/MS,ovis aries,Public,11646.79
MTBLS323,01/03/17,DI-LTQ-MS/MS,Homo sapiens,In Review,8547.38
MTBLS324,15/06/16,A Very Good Question,Homo sapiens,Submitted,1280.04
MTBLS325,31/12/16,HPLC-LTQ-MS,Homo sapiens,In Review,1617.15
MTBLS326,18/07/17,NMR,Homo sapiens,Public,26.21
MTBLS327,01/03/17,DI-LTQ-MS,Mus musculus,Public,345.46
MTBLS328,28/07/17,GC-Q-MS,Homo sapiens;Lactobacillus rhamnosus;Lactobacillus rhamnosus;Bacteroides caccae;Lactobacillus rhamnosus;Homo sapiens;Bacteroides caccae;Homo sapiens,Public,736.91
MTBLS329,01/10/16,No data supplied,,Dormant,0.17
MTBLS330,22/04/16,UPLC-QTOF-MS,,Submitted,5200.92
MTBLS331,20/07/17,NMR,Crocus sativus,Public,8.18
MTBLS332,25/07/17,GC-Q-MS,Populus deltoides WV94,Public,98.9
MTBLS333,23/08/16,UPLC-QTOF-MS,Rubus idaeus,Public,1010.04
MTBLS334,01/05/16,UPLC-LTQ-MS,Mus musculus,Public,16107.69
MTBLS335,02/12/16,UPLC-QTOF-MS/MS,Nicotiana attenuata,Public,3271.61
