StudyID,Title,Species,Institute,Analysis,ReleaseDate,Version,Samples,Download
ST000063,Biomarkers for Depression in Human Cerebrospinal Fluid in a Population Sample,Homo sapiens,"University of California, Davis",MS,11/07/2014,1,105,Uploaded data (1.5G)*
ST000065,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: GC-TOF MS analyis of serum samples,Homo sapiens,"University of California, Davis",MS,12/07/2014,1,65,Uploaded data (902M)*
ST000069,Metabolomic profiling of influenza: a 2009 pandemic H1N1 influenza in lean and obese mice (via blood and tissue),Mus musculus,University of North Carolina,MS,01/06/2015,1,140,Uploaded data (6.3M)
ST000070,Metabolomic profiling of influenza: a 2009 pandemic H1N1 influenza in lean and obese mice (via tissue),Mus musculus,University of North Carolina,MS,01/07/2015,1,74,Uploaded data (5.7M)
ST000071,Metabolomic profiling of influenza: a 2009 pandemic H1N1 influenza in lean and obese mice (via Urine),Mus musculus,University of North Carolina,MS,31/07/2015,1,50,Uploaded data (2.4M)
ST000072,Effect of diet and age on ovarian metabolome (via tissue),Macaca fascicularis,University of North Carolina,MS,31/07/2015,1,60,Uploaded data (3.4M)
ST000073,Effect of diet and age on ovarian metabolome (serum metabolome compared to ovarian),Macaca fascicularis,University of North Carolina,MS,31/07/2015,1,60,Uploaded data (3.4M)
ST000074,Genetic effects of high fat diet on mouse fecal metabolomics,Mus musculus,University of North Carolina,MS,01/06/2015,1,180,Uploaded data (8.8M)
ST000075,Combined Metabolomics and Lipidomics of Type 1 Diabetes (QTOF),Mus musculus,"University of California, Davis",MS,23/07/2014,1,152,Uploaded data (52G)*
ST000076,A549 Cell Study,Homo sapiens,University of Kentucky,MS,01/11/2014,1,12,Uploaded data (708K)
ST000077,Metabolite changes associated with methionine stress sensitivity of cancer (CSH QTOF MS analysis),Homo sapiens,"University of California, Davis",MS,24/07/2014,1,60,Uploaded data (11G)*
ST000081,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: UHPLC-QTOF MS analyis of subcutaneous and visceral adipose tissue samples,Homo sapiens,"University of California, Davis",MS,26/07/2014,1,248,Uploaded data (31G)*
ST000082,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: UHPLC-QTOF MS analyis of serum samples,Homo sapiens,"University of California, Davis",MS,25/07/2014,1,133,Uploaded data (14G)*
ST000083,A Multi-Omic View of Host-Pathogen-Commensal Interplay in Salmonella-Mediated Intestinal Infection,Mus musculus,Pacific Northwest National Laboratory,MS,30/07/2014,1,30,Uploaded data (268M)*
ST000084,Model-driven multi-omic data analysis elucidates metabolic immunomodulators of macrophage activation,Mus musculus,Pacific Northwest National Laboratory,MS,06/08/2014,1,6,Uploaded data (102M)*
ST000085,Salmonella Modulates Metabolism during Growth under Conditions that Induce Expression of Virulence Genes,Salmonella typhimurium,Pacific Northwest National Laboratory,MS,08/08/2014,1,9,Uploaded data (245M)*
ST000087,A study of changes in lipid metabolism of ovarian cancer cells co-cultured with adipocytes: GC-TOF MS analysis,Homo sapiens,"University of California, Davis",MS,18/09/2014,1,81,Uploaded data (2.1G)*
ST000089,A study of changes in lipid metabolism of ovarian cancer cells co-cultured with adipocytes: UHPLC-QTOF MS analysis,Homo sapiens,"University of California, Davis",MS,18/09/2014,1,100,Uploaded data (12G)*
ST000090,Caloric Restriction vs drugs,Mus musculus,University of Michigan,MS,30/07/2014,1,140,Uploaded data (21G)*
ST000091,Quantitative Metabolomics by 1H-NMR and LC-MS/MS Confirms Altered Metabolic Pathways in Diabetes,Homo sapiens,Mayo Clinic,MS,26/07/2014,1,26,Uploaded data (2.0M)
ST000092,A statistical analysis of the effects of urease pre-treatment on the measurement of the urinary metabolome by gas chromatography_mass spectrometry,Homo sapiens,Pacific Northwest National Laboratory,MS,07/08/2014,1,235,Uploaded data (2.9G)*
ST000093,Metabolomics Analysis of Frontal Fibrosing Alopecia,Homo sapiens,Case Western Reserve University,MS,26/07/2014,1,90,Uploaded data (560K)
ST000095,Dysfunctional lipid metabolism underlies the effect of perinatal DDT exposure on the development of metabolic syndrome,Mus musculus,"University of California, Davis",MS,03/02/2015,1,15,Uploaded data (23M)*
ST000096,A study of changes in lipid metabolism of ovarian cancer cells co-cultured with adipocytes: UPLC-QTRAP MS analysis,Homo sapiens,"University of California, Davis",MS,03/02/2015,1,132,Uploaded data (30M)*
ST000097,NMR analysis of D. melanogaster,Drosophila melanogaster,University of Florida,NMR,03/02/2015,1,80,Uploaded data (27M)*
ST000098,Heatshock response of C. elegans using IROA (II),Caenorhabditis elegans,University of Florida,MS,04/11/2015,1,36,Uploaded data (974M)*
ST000098,Heatshock response of C. elegans using IROA (II),Caenorhabditis elegans,University of Florida,NMR,04/11/2015,1,36,Uploaded data (974M)*
ST000099,NMR analysis of DMD mouse serum,Mus musculus,University of Florida,NMR,04/11/2015,1,14,Uploaded data (12M)*
ST000100,Global Metabolomics of C. elegans using an augmented reference IROA design,Caenorhabditis elegans,University of Florida,MS,03/02/2015,1,96,Uploaded data (16G)*
ST000101,NMR analysis of Synthetic Mixture Analysis,N / A,University of Florida,NMR,03/02/2015,1,20,Uploaded data (11M)*
ST000102,Cold adaptation shapes the robustness of metabolic networks in Drosophila melanogaster,Drosophila melanogaster,University of Florida,NMR,03/02/2015,1,192,Uploaded data (150M)*
ST000103,2D-INADEQUATE NMR study of C. elegans metabolome,Caenorhabditis elegans,University of Florida,NMR,18/06/2016,1,8,Uploaded data (3.1G)*
ST000104,Factors for Epigenetic Silencing of Lung Cancer Genes,Homo sapiens,University of North Carolina,NMR,18/06/2016,1,68,Uploaded data (36M)*
ST000105,SCOR Metabolomics,Homo sapiens,University of Michigan,MS,03/02/2015,1,224,Uploaded data (8.8M)*
ST000106,IWMS Study 1:Weight comparison of obese and lean patients,Homo sapiens,University of Michigan,MS,03/02/2015,1,128,Uploaded data (4.3M)*
ST000107,Metabolomic and lipidomic profiles in response to exogenous insulin and GLP-1 infusions during prolonged fasting,Mirounga angustirostris,"University of California, Davis",MS,03/02/2015,1,222,Uploaded data (751M)*
ST000110,SIRM Analysis of human P493 cells under hypoxia in [U-13C/15N] labeled Glutamine medium (Both positive and ion mode FTMS),Homo sapiens,University of Kentucky,MS,03/02/2015,1,24,Uploaded data (6.2M)
ST000111,Study of biological variation in PC9 cell culture,Homo sapiens,University of Kentucky,MS,03/02/2015,1,12,Uploaded data (936K)
ST000113,SIRM Analysis of human P493 cells under hypoxia in [U-13C/15N] labeled Glutamine medium (Positive ion mode FTMS),Homo sapiens,University of Kentucky,MS,03/02/2015,1,16,Uploaded data (2.1M)
ST000114,SIRM Analysis of human P493 cells under hypoxia in [U-13C] labeled Glucose medium,Homo sapiens,University of Kentucky,MS,03/02/2015,1,24,Uploaded data (8.3M)
ST000115,Impact of insulin deprivation and treatment on sphingolipid distribution in different muscle subcellular compartments of streptozotocin-diabetic C57Bl/6 mice,Mus musculus,Mayo Clinic,MS,03/02/2015,1,88,Uploaded data (24M)*
ST000116,Comparative metabolomics analysis of the key metabolic nodes in propionic acid synthesis in Propionibacterium acidipropionici,Propionibacterium acidipropionici,Jiangnan University,MS,03/02/2015,1,18,Uploaded data (140K)
ST000117,Metabolomics analysis of multiple metabolic functions in the YjgF/YER057c/UK114 (Rid) protein family GC-MS (Part 1),Salmonella enterica / Escherichia coli,"University of California, Davis",MS,06/11/2014,1,18,Uploaded data (830M)*
ST000118,Metabolomics analysis of multiple metabolic functions in the YjgF/YER057c/UK114 (Rid) protein family GCMS (part 2),Salmonella enterica / Escherichia coli,"University of California, Davis",MS,06/11/2014,1,29,Uploaded data (611M)*
ST000119,Metabolomics analysis of multiple metabolic functions in the YjgF/YER057c/UK114 (Rid) protein family LCMS,Salmonella enterica / Escherichia coli,"University of California, Davis",MS,06/11/2014,1,58,Uploaded data (27G)
ST000120,Disruption of Zinc homeostasis can impair maternal glucocorticoid metabolism: consequences on the developing fetus,Rattus norvegicus,"University of California, Davis",MS,30/09/2014,1,270,Uploaded data (880K)
ST000121,Impact of anesthesia and euthanasia on metabolomics of mammalian tissues: studies in a C57BL/6J mouse model,Mus musculus,University of Michigan,MS,01/02/2015,1,245,Uploaded data (564K)
ST000122,Perinatal DDT causes dysfunctional lipid metabolism underlying metabolic syndrome,Homo sapiens,"University of California, Davis",MS,30/09/2014,1,42,Uploaded data (188K)
ST000123 (Availability TBA),ABO Blood Type Study,Homo sapiens,University of North Carolina,NMR,-,-,57,Not available
ST000124 (Availability TBA),Metabolomics analysis of microbiome gut model (with Lactate),Homo sapiens,University of North Carolina,NMR,-,-,37,Not available
ST000125 (Availability TBA),Metabolomics analysis of microbiome gut model (without Lactate),Homo sapiens,University of North Carolina,NMR,-,-,37,Not available
ST000126 (Availability TBA),A pilot study of endothelial cell response to inorganic phosphate,Mus musculus,University of North Carolina,NMR,-,-,40,Not available
ST000127 (Availability TBA),Metabolomics Study of Green Tea,Camellia sinensis,University of North Carolina,NMR,-,-,38,Not available
ST000129 (Availability TBA),"Urinary Phthalates, Insulin Resistance, and Metabolomics in Adolescents",Homo sapiens,University of North Carolina,NMR,-,-,59,Not available
ST000130 (Availability TBA),Effects of Transplacental Exposure to Environmental Pollutants on Birth Outcomes in a Multiethnic Population,Homo sapiens,University of North Carolina,NMR,-,-,109,Not available
ST000131 (Availability TBA),A pilot study of plasma from CKD patients before and after a probiotic treatment regiment.,Homo sapiens,University of North Carolina,NMR,-,-,55,Not available
ST000132 (Availability TBA),Metallomic Analysis of Chronic Kidney disease,Homo sapiens,University of North Carolina,MS,-,-,99,Not available
ST000133,1H NMR Metabolomics Study of Metastatic Melanoma in C57BL/6J Mouse Spleen,Mus musculus,Pacific Northwest National Laboratory,NMR,08/01/2015,1,10,Uploaded data (3.6M)*
ST000134,Monitoring In Vitro Response of Selenium-Treated Prostate Cells by 1H NMR Spectroscopy,Homo sapiens,Purdue University North Central,NMR,13/01/2015,1,4,Uploaded data (4.5M)
ST000135,LCMS analysis of Bile Acids,Mus musculus,Pennsylvania State University,MS,13/01/2015,1,58,Uploaded data (190M)
ST000136,NIST lipidomics intralaboratory study,Homo sapiens,University of Florida,MS,18/06/2016,1,12,Uploaded data (781M)
ST000137,Metabolomics in sarcoidosis,Homo sapiens,Wayne State University,NMR,11/02/2015,1,30,Uploaded data (136K)
ST000138,Targeted LC MS of acylcarnitines: TLCMS,Homo sapiens,University of Florida,MS,18/06/2016,1,370,Uploaded data (1.3G)*
ST000139 (Availability TBA),Controlled Human Exposure to PM and Gaseous Co-Pollutants,Homo sapiens,University of North Carolina,MS,-,-,71,Not available
ST000140,Cell Rinsing Solution Comparison,Homo sapiens,University of Florida,MS,03/03/2016,1,5,Uploaded data (3.1G)*
ST000142,H1299 13C-labeled Cell Study,Homo sapiens,University of Kentucky,MS,12/03/2015,1,4,Uploaded data (1.4M)
ST000143,Metabolic analysis of Normal Mouse Lung Fiboblasts with/without TGFbeta treatment (Part 1),Mus musculus,University of Michigan,MS,13/03/2015,1,60,Uploaded data (5.2G)*
ST000144,Primary T Cell Baseline (Donor 5) - II,Homo sapiens,University of Michigan,MS,13/03/2015,1,48,Uploaded data (794M)*
ST000145,Primary T Cell Noxa Knockdown (Donor 8),Homo sapiens,University of Michigan,MS,13/03/2015,1,30,Uploaded data (2.0G)*
ST000146,Noxa regulation of malate aspartate shuttle,Homo sapiens,University of Michigan,MS,13/03/2015,1,18,Uploaded data (1.4G)*
ST000147,13C targeted metabolomics,Homo sapiens,University of Michigan,MS,13/03/2015,1,48,Uploaded data (2.6G)*
ST000148,A549 13C-labeled Cell Study,Homo sapiens,University of Kentucky,MS,24/03/2015,1,5,Uploaded data (9.1M)
ST000149,High Insulin Combined With Essential Amino Acids Stimulates Skeletal Muscle Mitochondrial Protein Synthesis While Decreasing Insulin Sensitivity in Healthy Humans,Homo sapiens,Mayo Clinic,MS,05/03/2015,1,120,Uploaded data (1.5M)
ST000150,Association of Metabolic Profile and Microbiome in Chronic Pressure Ulcer Wounds,Homo sapiens,Montana State University,NMR,20/04/2015,1,8,Uploaded data (1.7M)
ST000153,Primary T Cell Noxa Knockdown (Donor 8)-II,Homo sapiens,University of Michigan,MS,28/04/2015,1,16,Uploaded data (346M)*
ST000154,Use of Aspartate Dehydrogenase by cancer cells,Homo sapiens,University of Michigan,MS,24/04/2015,1,54,Uploaded data (2.3G)*
ST000155,ND/HSD sated/fasted fly brains,Drosophila melanogaster,University of Michigan,MS,28/04/2015,1,20,Uploaded data (891M)*
ST000156,Yeast glycolysis in normoxia and hypoxia (150107_pfk2),Saccharomyces cerevisiae,University of Michigan,MS,28/04/2015,1,30,Uploaded data (5.3G)*
ST000157,13C mass isotopomer analysis (LCMS flux studies) MLL-AF9 (part II),Mus musculus,University of Michigan,MS,13/01/2016,1,18,Uploaded data (668M)*
ST000158,Human fecal bile acid profiles before and after fecal transplant,Homo sapiens,University of Michigan,MS,18/06/2016,1,46,Uploaded data (70M)*
ST000159,U13C-Glutamine and U13C-Glucose Flux Analysis (MFA SiHa B16F10),Homo sapiens,University of Michigan,MS,28/04/2015,1,30,Uploaded data (881M)*
ST000160,Basic Metabolism Studies (wt and TPA null),Mus musculus,University of Michigan,MS,28/04/2015,1,10,Uploaded data (20M)*
ST000161,Plasma Nucleotide/adenosine concentrations (Human AxP Batch 3),Homo sapiens,University of Michigan,MS,28/04/2015,1,24,Uploaded data (35M)*
ST000162,Yeast glycolysis in normoxia and hypoxia (150121_pkf2),Saccharomyces cerevisiae,University of Michigan,MS,28/04/2015,1,12,Uploaded data (1.7G)*
ST000163,Metabolomics of 50 healthy humans and common marmosets (MetabNet),Homo sapiens / Callithrix jacchus,Emory University,MS,28/04/2015,1,300,Uploaded data (39G)*
ST000164,Metabolomic analysis of normal and diabetic mouse bone marrow under PBS or metformin treatment,Mus musculus,New York University,MS,22/12/2016,1,30,Uploaded data (7.1G)*
ST000165,Sparing of muscle mass and function by passive loading in an experimental intensive care unit model,Rattus norvegicus,Uppsala University,MS,10/05/2015,1,104,Uploaded data (2.1M)
ST000166,Cardiac Resynchronization Therapy Induces Adaptive Metabolic Transitions in the Metabolomic Profile of Heart Failure,Homo sapiens,Mayo Clinic,MS,28/06/2015,1,53,Uploaded data (324K)
ST000167,Cold Storage of Rat Hepatocyte Spheroids,Rattus norvegicus,Mayo Clinic,MS,28/06/2015,1,45,Uploaded data (748K)
ST000168,Effect of Insulin Sensitizer Therapy on Amino Acids and Their Metabolites,Homo sapiens,Mayo Clinic,MS,28/06/2015,1,200,Uploaded data (928K)
ST000169,Baby Mice Hyperoxia treatment (G64-N.H-7d14d),Mus musculus,University of Michigan,MS,28/06/2015,1,16,Uploaded data (26M)*
ST000170,13C mass isotopomer analysis (LCMS flux studies) MLL-AF9 (part III),Mus musculus,University of Michigan,MS,13/01/2016,1,9,Uploaded data (815M)*
ST000171,cell metabolomics (metabolic phenotypes of a clock mutant mouse),Mus musculus,University of Michigan,MS,28/06/2015,1,11,Uploaded data (2.1M)*
ST000172,THP1 Human Monocyte cells Project A (part I),Homo sapiens,University of Michigan,MS,28/12/2015,1,59,Uploaded data (1.5G)*
ST000173,Comparative metabolomics study of WT and iButOH tolerant E. coli,Escherichia coli,University of Michigan,MS,18/06/2016,1,14,Uploaded data (1.5G)*
ST000174,Mouse macrophages from bone marrow treatment,Mus musculus,University of Michigan,MS,28/12/2015,1,14,Uploaded data (2.9G)*
ST000176,cell and liver metabolomics,Mus musculus,University of Michigan,MS,28/06/2015,1,28,Uploaded data (2.1G)*
ST000178,T cell metabolism during graft-versus-host disease (CAB 307)-PART I,Mus musculus,University of Michigan,MS,18/06/2016,1,14,Uploaded data (867M)*
ST000180,2 lines of pulmonary artery smooth muscle cells metabolic profile (122 vs 3633C central metabolic profile),Ovis aries,University of Michigan,MS,18/06/2016,1,10,Uploaded data (1.3G)*
ST000181,T cell metabolism during graft-versus-host disease(CAB 311),Mus musculus,University of Michigan,MS,28/12/2015,1,8,Uploaded data (645M)*
ST000182,Bone Marrow Metabolomics (part I),Mus musculus,University of Michigan,MS,18/06/2016,1,16,Uploaded data (929M)*
ST000183,Metabolic analysis of Parp1 ko/wt Saline & Bleo Mouse Lung Fiboblasts and Human IPF & Normal Lung Fiboblasts (Part 3),Mus musculus,University of Michigan,MS,28/12/2015,1,16,Uploaded data (1.2G)*
ST000185,Fetal Lambs vascular graft Normal v Shunt LECs,Ovis aries,University of Michigan,MS,28/12/2015,1,12,Uploaded data (286M)*
ST000188,Murine apyrase,Mus musculus,University of Michigan,MS,18/06/2016,1,15,Uploaded data (18M)*
ST000189,Hirschprung Enterocolitis SCFA,Homo sapiens,University of Michigan,MS,18/06/2016,1,20,Uploaded data (25M)*
ST000190,Assessment of dietary zinc on SCFA cecal production,Gallus gallus,University of Michigan,MS,28/12/2015,1,12,Uploaded data (33M)*
ST000191,SCFA in Hypertension,Rattus norvegicus,University of Michigan,MS,18/06/2016,1,112,Uploaded data (25M)*
ST000192,TRF Microbiome Study NA/FA/FT/CDKO 4-14,Mus musculus,University of Michigan,MS,28/12/2015,1,31,Uploaded data (49M)*
ST000193,BAF60a LKO Liver specific knockout Bile acid,Mus musculus,University of Michigan,MS,28/12/2015,1,18,Uploaded data (34M)*
ST000194,Lanthanide-mineral induced alteration of bile acid metabolism in a murine model of steatohepatitis,Mus musculus,University of Michigan,MS,18/06/2016,1,19,Uploaded data (34M)*
ST000195,ACSL5 Whole Body Bile Acids,Mus musculus,University of Michigan,MS,18/06/2016,1,51,Uploaded data (78M)*
ST000196,Murine gastrointestinal bile acid profiles before and after antibiotics,Mus musculus,University of Michigan,MS,28/12/2015,1,135,Uploaded data (209M)*
ST000198,"Liver and Plasma metaboites for 13C-glucose load in wild type, LIRKO and LIRFKO mice",Mus musculus,University of Michigan,MS,28/12/2015,1,40,Uploaded data (27M)*
ST000199,IDH1 and Glioma knockdown idh1 (part II),Homo sapiens,University of Michigan,MS,28/12/2015,1,10,Uploaded data (11M)*
ST000201,Bone Marrow Metabolomics (part II),Mus musculus,University of Michigan,MS,18/06/2016,1,16,Uploaded data (24M)*
ST000202,THP1 Human Monocyte cells Project A (part II),Homo sapiens,University of Michigan,MS,28/12/2015,1,59,Uploaded data (2.8G)*
ST000203,Germfree vs Conventional Swiss webster mice Studies,Mus musculus,University of Michigan,MS,28/12/2015,1,66,Uploaded data (1.7M)*
ST000206,Mice inoculation with human microbiota (AMY1.1SCFA),Mus musculus,University of Michigan,MS,18/06/2016,1,19,Uploaded data (5.6M)*
ST000207,Mice inoculation with human microbiota (MouseAMY1.1SCFA.Cecal),Mus musculus,University of Michigan,MS,18/06/2016,1,19,Uploaded data (20M)*
