Title,StudyID,Uploaded by,PI,Upload Date,# Files,Total Size (KB),Species,Instrument
GNPS U01 COM03 Metabolomics LAC CA-MHB High-Resolution Dual-Polarity qTOF LC/MS Method,MSV000081844,mjmeehan,Bernhard Palsson,"Dec. 21, 2017, 7:05 AM","2,591",83509666,Staphylococcus aureus LAC,impact
GNPS U01 COM02 Metabolomics LAC CA-MHB High-Resolution Dual-Polarity qTOF LC/MS Method,MSV000081843,mjmeehan,Bernhard Palsson,"Dec. 21, 2017, 7:04 AM","2,608",87135304,Staphylococcus aureus LAC,impact
GNPS U01 COM01 Metabolomics LAC CA-MHB High-Resolution Dual-Polarity qTOF LC/MS Method,MSV000081842,mjmeehan,Bernhard Palsson,"Dec. 21, 2017, 7:03 AM","2,599",54293613,Staphylococcus aureus LAC,impact
GNPS Schkuhria,MSV000081834,markkimani,Mark Kimani,"Dec. 20, 2017, 6:52 AM",14,423939,Schkuhria pinnata,LCMS-IT-TOF
GNPS Children Saliva,MSV000081832,gajender,Anna Edlund,"Dec. 19, 2017, 2:54 PM",58,3842017,Oral microbiome,maXis
GNPS_skin_swabs,MSV000081816,amelnik,Pieter C Dorrestein,"Dec. 14, 2017, 4:50 PM",178,11255465,Homo sapiens,maXis
GNPS Library of exudate compounds,MSV000081810,kzhalnina,Trent Northen,"Dec. 13, 2017, 11:47 AM",37,5090851,chemical compounds,Q Exactive
GNPS_Lichen_negative_mode_Calcott_Owen,MSV000081809,amelnik,"Pieter Dorrestein
Jeremy Owen","Dec. 13, 2017, 10:04 AM","6,130",134045467,lichen,maXis
GNPS Avena isolates exudates uptake,MSV000081808,kzhalnina,Trent Northen,"Dec. 13, 2017, 8:23 AM",126,15163219,Bacteria,Q Exactive
GNPS - 71 Rhamnaceae plant extracts,MSV000081805,kbkang,"Pieter Dorrestein
Sang Hyun Sung","Dec. 12, 2017, 11:23 PM","1,851",5359799,Rhamnaceae,Xevo G2 Q-Tof
GNPS Avena barbata exudates at different growth stages,MSV000081804,kzhalnina,Trent Northen,"Dec. 12, 2017, 2:06 PM",65,7790067,Avena barbata,Q Exactive
GNPS - Comparative metabolomics of WT and daf-22 exometabolome in P pacificus,MSV000081803,artyukhin,Frank Schroeder,"Dec. 12, 2017, 10:18 AM",49,8483387,Pristionchus pacificus,Q Exactive
GNPS - Comparative metabolomics of WT and daf-22 mutant exometabolomes in C elegans,MSV000081802,artyukhin,Frank Schroeder,"Dec. 12, 2017, 10:05 AM",57,11809223,Caenorhabditis elegans,Q Exactive
GNPS PCOS Murine Fecal Sample Study GC-MS,MSV000081789,quinnr,Robert Quinn,"Dec. 7, 2017, 12:38 PM",32,710741,Mus musculus,TSQ Quantum
GNPS - AMG_Bloom_Attack_untreated_supernatant,MSV000081780,aaksenov,Rob Knight,"Dec. 5, 2017, 2:59 PM",213,13559413,Escherichia coli,maXis 4G
GNPS - TV Xenorhabdus eapokensis,MSV000081778,sniperwolff,"Prof. Helge B. Bode
Hendrik Wolff","Dec. 5, 2017, 3:34 AM",3,146953,Xenorhabdus eapokensis,impact
GNPS - AMG_Bloom_Attack,MSV000081777,aaksenov,Rob Knight,"Dec. 4, 2017, 5:46 PM","1,633",72040288,Escherichia coli,maXis 4G
GNPS - LC-MS/MS data of Sageretia theezans (raw data and Mzmine-preprocessed file),MSV000081774,kbkang,Sang Hyun Sung,"Nov. 30, 2017, 5:41 PM",3,142460,Sageretia theezans,Xevo G2 Q-Tof
GNPS - GFOP - Food - Plate20_fruit/veg,MSV000081753,jgauglitz,Julia Gauglitz,"Nov. 28, 2017, 12:15 AM","4,299",20192146,food metagenome,maXis
GNPS - GFOP - Food - Plate22_grain_complex,MSV000081752,jgauglitz,Julia Gauglitz,"Nov. 28, 2017, 12:15 AM","3,184",13575627,food metagenome,maXis
GNPS - GFOP - Food - Plate23_candy_complex,MSV000081751,jgauglitz,Julia Gauglitz,"Nov. 28, 2017, 12:15 AM","3,468",13926305,food metagenome,maXis
GNPS - GFOP - Food - Plate16_fruit/veg,MSV000081750,jgauglitz,Julia Gauglitz,"Nov. 28, 2017, 12:01 AM","3,808",19015432,food metagenome,maXis
GNPS - GFOP - Food - Plate18_fermentedLQ,MSV000081749,jgauglitz,Julia Gauglitz,"Nov. 28, 2017, 12:00 AM","3,574",17458724,food fermentation metagenome,maXis
GNPS - GFOP - Food - Plate15_grain,MSV000081748,jgauglitz,Julia Gauglitz,"Nov. 27, 2017, 11:53 PM","4,400",20951409,food metagenome,maXis
GNPS_Top5Pileje17_EauxFecalesPositive,MSV000081741,Ljubica,Svilar,"Nov. 24, 2017, 7:32 AM",2,38876,mouse,Q Exactive
GNPS - Pseudonitzschia Metabolomes,MSV000081731,daniel,Lihini Aluwihare,"Nov. 22, 2017, 4:33 PM",715,59134595,Pseudonitzschia,Q-Exactive
GNPS - GFOP - Food - Plate11_grain_nut,MSV000081683,jgauglitz,Julia Gauglitz,"Nov. 6, 2017, 10:42 AM","6,381",33085202,food metagenome,maXis
GNPS - GFOP - Food - Plate10_complex_condiments,MSV000081682,jgauglitz,Julia Gauglitz,"Nov. 6, 2017, 10:41 AM","3,973",19138935,food metagenome,maXis
GNPS - GFOP - Food - Plate13_complex,MSV000081681,jgauglitz,Julia Gauglitz,"Nov. 6, 2017, 10:40 AM","3,601",14060338,food metagenome,maXis
GNPS_Zostera_171106_CDWpeak_150-1200mz,MSV000081679,montmasis,Deniz Tasdemir,"Nov. 6, 2017, 5:55 AM",25,1269220,Zostera marina,"ACQUITY UPLC
Xevo G2 Q-ToF"
GNPS - GFOP - Food - Plate8_normalLQ,MSV000081676,jgauglitz,Julia Gauglitz,"Nov. 3, 2017, 12:33 PM","4,405",16560041,food metagenome,maXis
GNPS - GFOP - Food - Plate9_complex,MSV000081675,jgauglitz,Julia Gauglitz,"Nov. 3, 2017, 11:12 AM","4,083",13907574,food metagenome,maXis
GNPS - GFOP - Food - Plate5_meat,MSV000081673,jgauglitz,Julia Gauglitz,"Nov. 3, 2017, 8:47 AM","4,140",14952832,food metagenome,maXis
GNPS - NSF_T septentrionalis Fungus Gardens Extracts_01,MSV000081671,amcaraballor,Jonathan Klassen,"Nov. 2, 2017, 4:27 PM",277,21757034,T. septentrionalis fungus garden,maXis
GNPS - GFOP - Food - Plate12_fruit_vegetable,MSV000081670,jgauglitz,Julia Gauglitz,"Nov. 2, 2017, 2:33 PM","3,424",13376439,food metagenome,maXis
GNPS - GFOP - Food - Plate2_fruit_vegetable,MSV000081669,jgauglitz,Julia Gauglitz,"Nov. 2, 2017, 2:29 PM","3,117",9289759,food metagenome,maXis
GNPS - SEED Grant - Doty - late preterm infant microbiome,MSV000081667,jgauglitz,Jae Kim,"Nov. 2, 2017, 10:47 AM","31,206",206294779,Homo sapiens,maXis
GNPS - GFOP - Food - Plate3_fermentedLQ,MSV000081666,jgauglitz,Julia Gauglitz,"Nov. 2, 2017, 9:59 AM","3,756",12787042,food fermentation metagenome,maXis
GNPS - GFOP - Food - Plate4_fermented,MSV000081665,jgauglitz,Julia Gauglitz,"Nov. 2, 2017, 9:51 AM","3,839",13558562,food fermentation metagenome,maXis
GNPS_wheat5MSMS,MSV000081664,dbennouna,Djawed Bennouna,"Nov. 2, 2017, 9:49 AM",2,73997,Triticum aestivum,maXis
GNPS - LC-MS/MS data from Berchemia berchemiifolia and Rhamnella franguloides fruit etracts,MSV000081660,kbkang,Sang Hyun Sung,"Nov. 1, 2017, 8:48 PM",5,335482,-Rhamnella franguloides Cuphodes sp. 1 ex Berchemiella berchemiaefolia/Berchemia racemosa,Xevo G2 Q-Tof
GNPS - GFOP - Food - Plate6_chocolate_tea_egg,MSV000081659,jgauglitz,Julia Gauglitz,"Nov. 1, 2017, 4:03 PM","4,443",14038703,food fermentation metagenome,maXis
GNPS - GFOP - Food - Plate7_cheese,MSV000081657,jgauglitz,Julia Gauglitz,"Oct. 31, 2017, 2:35 PM","2,788",27289085,food fermentation metagenome,maXis
GNPS-Urine-viborg,MSV000081655,dbennouna,Djawed Bennouna,"Oct. 31, 2017, 5:25 AM",2,163188,"Mus <mouse, genus>",maXis
GNPS - Methylobacter tundripaludum,MSV000081637,daniel,Aaron Puri,"Oct. 20, 2017, 2:41 PM",6,167459,Methylobacter tundripaludum SV96,#NAME?
GNPS - Mice metabolomics PTSD disorder,MSV000081627,satheesh,Dr. Satheesh Kumar,"Oct. 18, 2017, 3:35 PM",3,43058,Mice CD1,LC-MS
GNPS - Mice metabolomics PTSD disorder,MSV000081626,satheesh,Dr. Satheesh Kumar,"Oct. 18, 2017, 3:26 PM",3,43058,Mice CD1,LC-MS QTof
GNPS_tomato,MSV000081595,Thomas84,Thomas MICHEL,"Oct. 10, 2017, 3:30 AM",3,1085,Solanum lycopersicum,maXis
GNPS - Authentic chemical standards_Steroids and bile acids,MSV000081583,abouslimani,Pieter Dorrestein,"Oct. 4, 2017, 12:57 PM",6,413455,Chemical standards,maXis
GNPS - BP-Microbiome_Skin samples 12 volunteers,MSV000081582,abouslimani,Pieter Dorrestein,"Oct. 4, 2017, 12:53 PM","4,590",492968004,Homo sapiens,maXis
GNPS - Common beauty products used during T4-T6,MSV000081581,abouslimani,Pieter Dorrestein,"Oct. 4, 2017, 12:53 PM",7,522167,Homo sapiens,maXis
GNPS - Personal Beauty products used during T0 and T7-T9,MSV000081580,abouslimani,Pieter Dorrestein,"Oct. 4, 2017, 12:44 PM",74,7116522,Homo sapiens,maXis
GNPS TLN-05220 Mass Spec Data,MSV000081575,ninashah1157,Nina Shah,"Oct. 2, 2017, 1:27 PM",11,875178,ATCC15837,Mass Spectrometry
GNPS - SEED Grant - Chambers - breast milk,MSV000081571,jgauglitz,Christina Chambers,"Sep. 28, 2017, 2:33 PM","20,364",155013093,Homo sapiens,maXis
GNPS U01 COM5 Metabolomics TCH1516 RPMI+10%LB July 27th 2017,MSV000081561,mjmeehan,Bernhard Palsson,"Sep. 25, 2017, 11:50 AM",73,1599385,Staphylococcus aureus TCH1516,micrOTOF-Q II
GNPS U01 COM3 Metabolomics LAC CA-MHB July 11th 2017,MSV000081560,mjmeehan,Bernhard Palsson,"Sep. 25, 2017, 11:45 AM",85,2428045,Staphylococcus aureus LAC,micrOTOF-Q II
GNPS U01 COM2 Metabolomics LAC CA-MHB July 6th 2017,MSV000081559,mjmeehan,Bernhard Palsson,"Sep. 25, 2017, 11:39 AM",85,2435061,Staphylococcus aureus LAC,micrOTOF-Q II
GNPS U01 COM4 Metabolomics LAC RPMI+10%LB July 30th 2017,MSV000081558,mjmeehan,Bernhard Palsson,"Sep. 25, 2017, 11:37 AM",66,1375272,Staphylococcus aureus LAC,micrOTOF-Q II
GNPS U01 COM1 Metabolomics LAC CA-MHB June 29th 2017,MSV000081557,mjmeehan,Bernhard Palsson,"Sep. 25, 2017, 11:27 AM",85,2504128,Staphylococcus aureus LAC,micrOTOF-Q II
GNPS - Micromonospora_DesFerrioxamines,MSV000081555,chasemc,#NAME?,"Sep. 23, 2017, 5:40 PM",25,5584823,Micromonospora chokoriensis,Q Exactive
GNPS - KendrickMassFilter_EvaluationDataset_PUBLIC,MSV000081544,alan_jarmusch,#NAME?,"Sep. 19, 2017, 7:43 PM",41,7387321,Homo sapiens,Q Exactive
GNPS - Sandwithia guyanensis extract and fractions,MSV000081542,simonremy,David Touboul,"Sep. 19, 2017, 2:21 AM",17,374903,Sandwithia guyanensis,6520 Quadrupole Time-of-Flight LC/MS
"GNPS M1152/R10 alpha, beta, gamma 20170912",MSV000081530,eolder,Bradley S. Moore,"Sep. 14, 2017, 5:12 PM",13,287995,Streptomyces coelicolor,6310 Ion Trap LC/MS
GNPS Letrozole Treated Mice Fecal Metabolome,MSV000081524,quinnr,Dorrestein,"Sep. 12, 2017, 10:54 AM",520,5590857,Mus musculus,maXis
GNPS - Photochemical transformation of nicotine in wastewater effluents,MSV000081521,Lslian,Lushi Lian,"Sep. 10, 2017, 2:10 AM",19,166,wastewater effluent,6540 Time-of-Flight LC-MS (Agilent instrument mode)
GNPS M1152/R10 w/ mutants 5d 10mL,MSV000081516,marvinkchau,Bradley S. Moore,"Sep. 7, 2017, 5:37 PM",11,7903236,Streptomyces coelicolor,6310 Ion Trap LC/MS
GNPS M1152/R10 w/ mutants 8d 10mL,MSV000081515,eolder,Bradley S. Moore,"Sep. 7, 2017, 12:13 PM",55,2317868,Streptomyces coelicolor,6310 Ion Trap LC/MS
GNPS-Leptospira-media-test,MSV000081513,jgauglitz,Karly Nisson,"Sep. 6, 2017, 4:35 PM","1,501",7490424,Leptospira,maXis
GNPS_Shiseido_skin_samples,MSV000081508,amelnik,"Pieter Dorrestein
rob knight","Sep. 5, 2017, 9:40 AM",525,49662631,Homo sapiens,maXis
"GNPS Qinichelins, novel catecholate-hydroxamate siderophores",MSV000081504,selsayed,Gilles van Wezel,"Sep. 4, 2017, 5:13 AM",4,109810,Streptomyces sp. MBT76,LTQ Orbitrap
GNPS_Penicillium allii,MSV000081502,kunp,KUNP,"Sep. 3, 2017, 6:14 PM",4,33599,Penicillium allii,LCQ Fleet
GNPS - Warhead biosynthesis and the origin of structural diversity in hydroxamate metalloproteinase inhibitors,MSV000081501,andtrum,Andrew Truman,"Sep. 3, 2017, 11:13 AM",7,71131,Actinomadura atramentaria,LCMS-IT-TOF
GNPS_Cudrania,MSV000081487,kunp,KUNP,"Aug. 29, 2017, 10:24 PM",5,40234,Cudrania tricuspidata,LCQ Fleet
GNPS OSA_mice_LDLR-KO_feces (6 weeks; positive mode),MSV000081482,anupriyatripathi,Gabriel Haddad,"Aug. 26, 2017, 4:33 PM",419,14189600,Mus musculus,Q Exactive
GNPS - SEED Grants - Intestinal FXR agonism protects against colon cancer via secondary metabolites communication,MSV000081477,fevargas,Ting Fu,"Aug. 23, 2017, 12:59 PM","10,193",97493045,Mus musculus,impact
GNPS Native strain M1152,MSV000081475,marvinkchau,Bradley S. Moore,"Aug. 22, 2017, 5:54 PM",2,809722,Streptomyces coelicolor,6310 Ion Trap LC/MS
GNPS human breast milk metabolomics (negative mode),MSV000081468,anupriyatripathi,Christina Chambers,"Aug. 19, 2017, 5:36 PM","3,217",19504598,Homo sapiens,maXis
GNPS - MassFuser evaluation - NIH and NIST datasets (Fused with MassFuser 08/2017),MSV000081466,can040,Pieter Dorrestein,"Aug. 18, 2017, 3:59 PM",55,36778305,"Homo sapiens
chemical standards",Q-Exactive plus
GNPS - Tomato Endophyte Negative Mode,MSV000081464,hnn002,"Pieter Dorrestein
Mustafa Morsy","Aug. 18, 2017, 2:27 PM",909,34798495,Solanum lycopersicum,Q Exactive
GNPS - Tomato Endophyte Positive Mode,MSV000081463,hnn002,"Pieter Dorrestein
Mustafa Morsy","Aug. 18, 2017, 2:26 PM",947,43766511,Solanum lycopersicum,Q Exactive
GNPS - 3D-Plant2Cells - Pesticides calibration curves - Quantification Q Exactive,MSV000081457,lfnothias,"Pieter Dorrestein
David Touboul","Aug. 17, 2017, 8:12 PM",213,80398588,Solanum lycopersicum,Q Exactive
GNPS - HILIC LC-MS/MS of sputum from CF patients treated with tobramycin,MSV000081456,lfnothias,Pieter Dorrestein,"Aug. 17, 2017, 7:39 PM",141,5017393,Homo sapiens,Q Exactive
GNPS WinCF pH Experiments GC data,MSV000081455,quinnr,Pieter Dorrestein,"Aug. 17, 2017, 3:48 PM",456,15266190,Homo sapiens,GC Quantum
GNPS - 3D-Plant2Cells - Pesticides calibration curves - Quantification QqQ,MSV000081454,lfnothias,"Pieter Dorrestein
David Touboul","Aug. 17, 2017, 12:06 PM",437,9693731,Solanum lycopersicum,TSQ Quantum
GNPS_Cudrania_Other Instrument,MSV000081451,giangdh91,Giang Hoang Do,"Aug. 16, 2017, 11:01 PM",8,70189,Cudrania tricuspidata,Unknown
GNPS Cudrania,MSV000081438,giangdh91,Giang Hoang Do,"Aug. 10, 2017, 9:51 PM",21,84973,Cudrania tricuspidata,LCQ Fleet
GNPS - Mouse BXD liver metabolomics - Aging Colony,MSV000081434,moaraj_hasan,Nicola Zamboni,"Aug. 10, 2017, 6:08 AM",583,213807734,Mus musculus,6550 Quadrupole Time-of-Flight LC/MS (Agilent instrument model)
GNPS - Cudrania,MSV000081433,giangdh91,Giang Hoang Do,"Aug. 9, 2017, 6:26 PM",6,6822,Cudrania tricuspidata,LCQ Fleet
GNPS human breast milk metabolomics (positive mode),MSV000081432,anupriyatripathi,Christina Chambers,"Aug. 9, 2017, 3:46 PM","4,046",51422086,Homo sapiens,maXis
GNPS Cudrania tricuspidata,MSV000081407,giangdh91,Giang Hoang Do,"Aug. 3, 2017, 8:43 PM",6,70455,Cudrania tricuspidata,Water Micromass Q-Tof micro
GNPS Cudrania tricuspidata,MSV000081400,giangdh91,Giang Hoang Do,"Aug. 3, 2017, 4:22 AM",7,16909,Cudrania tricuspidata,LCQ Fleet
GNPS KUNP Fungi,MSV000081388,giangdh91,Giang Hoang Do,"Jul. 28, 2017, 12:17 AM",16,338653,Fungi,Water Micromass Q-Tof micro
GNPS_198 root bacteria,MSV000081381,mcruesemann,Schulze-Lefert/Cr_semann,"Jul. 25, 2017, 1:07 AM",400,20194089,root-associated bacteria,micrOTOF-Q II
GNPS_Lululemon clothes study,MSV000081379,amelnik,Pieter Dorrestein,"Jul. 24, 2017, 3:38 PM","1,602",114035749,Homo sapiens,maXis
GNPS_Beauty_products_GC,MSV000081378,amelnik,Pieter Dorrestein,"Jul. 24, 2017, 3:12 PM",299,11237962,Homo sapiens,TSQ 8000evo(Triple Quadrupole GC-MS)
GNPS KUNP Fungi,MSV000081366,giangdh91,Giang Hoang Do,"Jul. 20, 2017, 1:07 AM",7,147255,Penicillium sp. KUNP,Water Micromass Q-Tof micro
GNPS - NIST Standard Reference Material Human Serum - Column Comparability,MSV000081364,fevargas,Fernando Vargas,"Jul. 19, 2017, 3:11 PM",872,70879662,Homo sapiens,Q Exactive
"GNPS - SEED - Disease-associated microbial species, for disease diagnosis and preventionof Type I diabetes - Sejal",MSV000081357,fevargas,Sejal Kadakia,"Jul. 18, 2017, 3:13 PM","9,522",46693140,Homo sapiens,impact
GNPS - Neurogerm Core buffer-stored samples.,MSV000081354,fevargas,Sara Gianella Weibel,"Jul. 18, 2017, 2:09 PM",163,6551542,Homo sapiens,Q Exactive
GNPS - SEED Group - Eating behavior development in infants - Rhee,MSV000081351,fevargas,Kay Rhee,"Jul. 18, 2017, 1:31 PM","1,353",56115638,Homo sapiens,Q Exactive
GNPS - FOOD - SEED Grant - Wittenberg - apple cider,MSV000081350,jgauglitz,Rachel Dutton,"Jul. 18, 2017, 1:16 PM","2,925",17886343,Malus,maXis
GNPS - SEED Grants - Neonatal - Stillwell,MSV000081348,fevargas,Kristina Stillwell,"Jul. 18, 2017, 11:27 AM","1,934",42145983,Homo sapiens,Q Exactive
GNPS - FOOD_Project - Plate 1,MSV000081347,jgauglitz,Julia Gauglitz,"Jul. 18, 2017, 11:23 AM","2,689",13510108,food metagenome,maXis
GNPS - SEED - Sanjay Negative mode,MSV000081346,fevargas,Kevin Bush,"Jul. 18, 2017, 10:03 AM",290,6625086,Rattus norvegicus,Q Exactive
GNPS - SEED - Palmer,MSV000081344,fevargas,Oksana Polesskaya,"Jul. 17, 2017, 6:18 PM","2,209",11014211,Mus musculus,impact
GNPS - SEED Grant - Zuniga,MSV000081343,fevargas,Elina I. Zuniga,"Jul. 17, 2017, 5:41 PM","1,741",94916714,Mus musculus,Q Exactive
GNPS_WinCF_study_sputum_GCMS,MSV000081340,aaksenov,Pieter Dorrestein,"Jul. 17, 2017, 1:17 PM",461,21609770,Homo sapiens,TSQ Quantum
GNPS_ApoE-Knockout_Mice_Hypoxia_Antibiotics,MSV000081326,mjmeehan,Gabriel Haddad,"Jul. 13, 2017, 4:09 PM","17,089",83926960,Mus musculus,impact
GNPS - Campylobacter_jejuni_extracellular_metabolome_metabolic_response,MSV000081290,jjjvanderhooft,Justin van der Hooft,"Jul. 12, 2017, 6:52 AM",265,5320458,Campylobacter jejuni,Q Exactive
GNPS - Ecoli_strains_extracellular_metabolome_B2phylogroup_validation_Study3,MSV000081289,jjjvanderhooft,Justin van der Hooft,"Jul. 12, 2017, 6:40 AM",145,2761366,Escherichia coli,Q Exactive
GNPS - Ecoli_strains_extracellular_metabolome_B2phylogroup_focussed_Study2,MSV000081288,jjjvanderhooft,Justin van der Hooft,"Jul. 12, 2017, 6:28 AM",144,3017550,Escherichia coli,Q Exactive
GNPS - Ecoli_strains_extracellular_metabolome_comparisons_Study1,MSV000081287,jjjvanderhooft,Justin van der Hooft,"Jul. 12, 2017, 5:00 AM",108,2378373,Escherichia coli,Q Exactive
GNPS - SEED Grant - Mouse Vaginal Colonization,MSV000081284,fevargas,Victor Nizet,"Jul. 11, 2017, 6:12 PM","19,838",63742076,Mus musculus,impact
GNPS Cudrania 32bit,MSV000081216,skh01097,Sojung,"Jul. 3, 2017, 2:03 AM",19,196261,cudrania,maXis
GNPS_colza_neg_top20,MSV000081215,dbennouna,Djawed Bennouna,"Jul. 3, 2017, 1:27 AM",4,145749,Brassica napus,q-exactive
GNPS Cudrania,MSV000081212,skh01097,Sojung,"Jul. 2, 2017, 10:36 PM",17,41831,Cudrania,maXis
GNPS-Imaging mass spectrometry and MS/MS molecular networking reveals chemical interactions among cuticular bacteria and pathogenic fungi associated with fungus-growing ants,MSV000081208,cristopher,Marcelino Gutierrez,"Jun. 30, 2017, 1:42 PM",28,1715288,#NAME?,micrOTOF-Q III
GNPS High resolution oxylipidomics,MSV000081200,davidriewe,David Riewe,"Jun. 27, 2017, 3:45 PM",2,8804,Triticum aestivum,maXis
GNPS GoBrachy test01,MSV000081186,ARU_Metabolomics,Albert Rivas Ubach,"Jun. 22, 2017, 11:39 AM",18,2580491,Brachypodium distachyon,LTQ Orbitrap Velos
GNPS Prednisolone patch evaluation,MSV000081176,lfnothias,Pieter Dorrestein,"Jun. 20, 2017, 1:15 PM",103,8437731,not specified,Q-Exactive
GNPS - Advancing a high throughput glycotope-centric glycomics workflow based on nanoLC-MS2-product dependent-MS3 analysis of permethylated glycans,MSV000081172,chengteh,Kay-Hooi Khoo,"Jun. 19, 2017, 9:33 PM",4,1110799,"-Homo sapiens Mus <mouse, genus>",Orbitrap Fusion
GNPS_Danone_fermentation_study,MSV000081171,aaksenov,Rob Knight,"Jun. 19, 2017, 5:18 PM","1,082",85936359,Homo sapiens,maXis
GNPS-colza_neg,MSV000081163,dbennouna,Djawed Bennouna,"Jun. 15, 2017, 1:56 AM",4,50540,Brassica napus,q-excative
